relname,25%,50%,75%,count,max,mean,min,std
triggers,23.0,23.0,23.0,525.0,385499.0,795.4571428571429,12.0,16844.559090428058
user,12.0,32.0,118.0,397.0,7862.0,175.32745591939548,1.0,493.76551869418705
usermgmt_api_token,1.0,3.0,6.0,253.0,2746.0,39.66798418972332,1.0,197.9892384308106
usermgmt_enduser,2.0,6.0,22.0,302.0,8016.0,165.01324503311258,1.0,729.833349081802
usermgmt_last_login,11.0,27.0,108.0,434.0,66192.0,398.20046082949307,1.0,3347.0886758591355
usermgmt_oauth_client,1.0,3.0,8.0,277.0,2871.0,41.36462093862816,1.0,230.81479944392143
usermgmt_permission,112.0,113.0,113.0,57.0,117.0,89.94736842105263,1.0,44.33936539135705
usermgmt_role,32.0,32.0,32.0,69.0,38.0,29.420289855072465,9.0,7.484112185748301
usermgmt_role_assignment,13.0,46.0,447.0,369.0,39587.0,1730.9647696476966,1.0,4871.75341853814
usermgmt_role_permission,9.75,493.0,493.0,98.0,504.0,348.7551020408163,2.0,223.26042586451817
usermgmt_user_datastore,2.0,5.0,28.0,149.0,78.0,15.228187919463087,1.0,15.41722483763461
usermgmt_user_group,1.0,3.0,11.5,115.0,8286.0,266.82608695652175,1.0,1190.9041623383905
usermgmt_user_group_member,3.0,10.0,41.0,216.0,86038.0,1775.736111111111,1.0,9701.990088338818
version_bom,7.0,52.0,687.0,373.0,19470.0,1020.6407506702412,1.0,2627.997300503407
version_bom_active_policies,913.0,22021.0,263455.0,237.0,11740432.0,502426.9957805907,1.0,1400389.0109441644
version_bom_applied_adjustment,194.0,2836.0,53028.0,297.0,9020799.0,309827.0101010101,1.0,1171615.5478224992
version_bom_component,3569.25,23373.0,157771.5,440.0,2788661.0,192959.49545454545,3.0,442505.66048154095
version_bom_component_additional_license,408.5,3732.0,12659.5,39.0,501100.0,27426.05128205128,4.0,82496.16342241835
version_bom_component_aggregated_licenses,1505.25,5050.5,14008.25,468.0,438858.0,12456.626068376068,4.0,26476.256979482616
version_bom_component_license_conflict,7.0,10.0,13.0,2.0,16.0,10.0,4.0,8.48528137423857
version_bom_custom_field,64.0,398.0,33673.0,13.0,125678.0,23037.153846153848,2.0,39787.85778946084
version_bom_detail,22.0,102.0,751.0,453.0,24974.0,1085.1810154525385,1.0,2803.848535273228
version_bom_entry,15024.0,132630.0,987721.0,445.0,19771789.0,1082455.611235955,4.0,2444491.8446364217
version_bom_file,3081.5,33516.0,285877.0,430.0,16311317.0,624695.3744186047,1.0,1808511.1247416504
version_bom_license_term,1243.0,18116.0,88750.0,29.0,490384.0,78378.27586206897,6.0,125742.12869738508
version_bom_policy_override_adjustment,2.0,14.0,1440.0,39.0,12826.0,1917.7435897435898,1.0,3656.3255477967195
version_bom_risk_data,3569.0,23373.0,157746.0,440.0,2832906.0,194007.45,3.0,450141.0339028259
version_bom_risk_profile,3583.0,23770.0,157736.0,441.0,2880103.0,194734.6530612245,3.0,445967.12529217126
version_bom_risk_status,144.0,3085.0,22551.5,323.0,1564723.0,51648.17647058824,1.0,162626.58429655852
version_bom_risk_warning,20049.0,277505.0,2186199.0,459.0,73410940.0,3027234.069716776,1.0,7839117.663539844
version_bom_snippet,869.0,6309.0,33345.0,149.0,1046043.0,52922.80536912752,2.0,124160.3076550459
version_bom_status,1.0,1.0,4.0,128.0,783.0,22.0703125,1.0,91.92381162249889
version_bom_string_search_match,5761.25,45290.0,347926.25,74.0,3463595.0,378314.36486486485,3.0,731713.1683248298
version_bom_vuln_match,25.25,60.5,266.5,8.0,1571.0,290.5,9.0,530.8820154099349
vuln_remediation,2218.25,28039.0,217977.75,452.0,12295780.0,317461.58628318587,1.0,889147.1781489735
vuln_remediation_default_status,1.0,2.0,4.5,7.0,75.0,12.714285714285714,1.0,27.51190218623136
vuln_search_dashboard,249.5,1231.5,4928.5,466.0,28447.0,3483.3283261802576,2.0,4938.504763647824
vuln_summary,775.0,3756.0,11764.5,451.0,1826649.0,11529.50332594235,1.0,86270.33164554754
vulnerability_method_matches,24.5,60.5,269.0,6.0,1505.0,331.0,9.0,587.7533496289068
