relname,25%,50%,75%,count,max,mean,min,std
usermgmt_user_preference,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0
version_bom,0.0,8.0,242.0,527.0,19470.0,722.3889943074004,0.0,2258.365822602695
version_bom_active_policies,0.0,0.0,8573.5,527.0,11740432.0,225949.14231499052,0.0,970808.4801409064
version_bom_applied_adjustment,0.0,20.0,6224.0,527.0,9020799.0,174608.3908918406,0.0,892253.0935277715
version_bom_component,700.0,12388.0,112111.0,527.0,2788661.0,161104.70208728654,0.0,410567.8259446275
version_bom_component_additional_license,0.0,0.0,0.0,527.0,501100.0,2029.6318785578749,0.0,23308.880704261872
version_bom_component_aggregated_licenses,647.0,3938.0,12131.5,527.0,438858.0,11062.051233396585,0.0,25255.09789563095
version_bom_component_license_conflict,0.0,0.0,0.0,527.0,16.0,0.03795066413662239,0.0,0.7180997668345908
version_bom_custom_field,0.0,0.0,0.0,527.0,125678.0,568.2789373814041,0.0,6993.469196002129
version_bom_detail,7.0,66.0,528.0,527.0,24974.0,932.8026565464895,0.0,2626.3997996781777
version_bom_entry,2274.5,67124.0,586857.0,527.0,19771789.0,914027.9829222012,0.0,2279963.2672498273
version_bom_file,160.0,13718.0,175857.0,527.0,16311317.0,509713.4933586338,0.0,1651144.3068876376
version_bom_license_term,0.0,0.0,0.0,527.0,490384.0,4313.03605313093,0.0,34083.83731426431
version_bom_policy_override_adjustment,0.0,0.0,0.0,527.0,12826.0,141.92030360531308,0.0,1103.768693267371
version_bom_risk_data,686.0,12266.0,112000.5,527.0,2832906.0,161979.65464895635,0.0,417504.87537337106
version_bom_risk_profile,843.5,12557.0,112111.0,527.0,2880103.0,162956.32258064515,0.0,414194.89154381235
version_bom_risk_status,0.0,31.0,7168.0,527.0,1564723.0,31655.333965844402,0.0,129708.59795949652
version_bom_risk_warning,3874.5,139510.0,1683505.0,527.0,73410940.0,2636623.222011385,0.0,7385071.605104614
version_bom_snippet,0.0,0.0,116.0,527.0,1046043.0,14962.994307400379,0.0,70047.07474375871
version_bom_status,0.0,0.0,0.0,527.0,783.0,5.3605313092979125,0.0,46.15137720554107
version_bom_string_search_match,0.0,0.0,0.0,527.0,3463595.0,53121.94117647059,0.0,302676.12211880327
version_bom_vuln_match,0.0,0.0,0.0,527.0,1571.0,4.409867172675522,0.0,70.8144293244863
vuln_remediation,159.0,13694.0,157523.5,527.0,12295780.0,272282.04364326375,0.0,830771.929509547
vuln_remediation_default_status,0.0,0.0,0.0,527.0,75.0,0.16888045540796964,0.0,3.2797250300527097
vuln_search_dashboard,99.5,779.0,4357.5,527.0,28447.0,3080.134724857685,0.0,4775.42862874932
vuln_summary,221.5,1988.0,10234.5,527.0,1826649.0,9866.804554079696,0.0,79897.77530196427
vulndb_record,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
vulndb_record_classification,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
vulndb_record_reference_url,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
vulnerability_method_matches,0.0,0.0,0.0,527.0,1505.0,3.7685009487666035,0.0,67.22573851190502
